,frequency,presence
nt have the,10,1.0
i live in,10,1.0
nt have any,10,80.0
to go out,10,1.0
ca nt see,10,1.0
for the next,10,1.0
about to go,10,1.0
i am so,10,2.0
not going to,10,1.0
im gon na,10,1.0
it will be,10,1.0
to wake up,10,1.0
at least i,10,1.0
if i m,10,1.0
i can go,10,1.0
to figure out,10,1.0
na be a,10,1.0
a little bit,10,1.0
that s why,10,1.0
if i was,10,1.0
catching up on,10,1.0
back from the,10,1.0
do nt like,10,1.0
for a while,10,2.0
i ll get,10,1.0
am going to,10,1.0
i would have,10,1.0
nt have to,10,1.0
last day of,10,1.0
as long as,10,1.0
did nt have,9,1.0
so much for,9,1.0
are you going,9,1.0
day to all,9,1.0
get ready for,9,1.0
for the night,9,2.0
my best friend,9,4.0
not gon na,9,1.0
s going to,9,1.0
i wanted to,9,1.0
have a great,9,1.0
and i am,9,1.0
well i m,9,1.0
at the moment,9,1.0
i dont get,9,1.0
it looks like,9,1.0
to do it,9,1.0
to have to,9,9.0
i saw the,9,6.0
do you know,9,2.0
what s up,9,1.0
but it was,9,1.0
and it was,9,19.0
will have to,9,4.0
think i m,9,1.0
sorry to hear,9,1.0
looking for a,9,9.0
nt make it,9,1.0
live in the,9,1.0
gon na have,9,1.0
i guess it,9,1.0
i love it,9,1.0
i really want,9,1.0
have to get,9,1.0
be in the,9,1.0
i hope i,9,1.0
to see you,9,1.0
nt get the,9,1.0
is about to,9,1.0
back to the,9,1.0
i thought i,9,1.0
going to go,9,1.0
why am i,9,1.0
s what i,9,1.0
for a bit,9,1.0
i really need,9,9.0
i want my,9,13.0
woke up and,9,1.0
talk to you,9,1.0
nt be able,9,2.0
you know i,9,1.0
in a bit,9,1.0
guess i ll,9,1.0
for me to,8,9.0
nt go to,8,1.0
go to sleep,8,1.0
to see them,8,1.0
trying to figure,8,1.0
i ll go,8,1.0
but i ll,8,1.0
i m tired,8,1.0
do you have,8,2.0
to go on,8,1.0
nt see the,8,1.0
figure out how,8,2.0
but i will,8,1.0
have no idea,8,1.0
i can do,8,1.0
the first time,8,1.0
to wait for,8,1.0
how s the,8,1.0
at the same,8,1.0
got ta get,8,1.0
make it to,8,9.0
are going to,8,1.0
in a week,8,1.0
it s gon,8,1.0
nt know why,8,1.0
ca nt get,8,3.0
so i do,8,1.0
in the garden,8,1.0
to go back,8,1.0
so i have,8,1.0
want to play,8,1.0
let you know,8,2.0
feel like i,8,2.0
on a friday,8,1.0
do nt see,8,1.0
go home and,8,1.0
to buy a,8,1.0
day at the,8,1.0
to go see,8,1.0
to make it,8,1.0
it s my,8,1.0
to pick up,8,16.0
went to the,8,1.0
ca nt be,8,17.0
we have a,8,1.0
i didnt get,8,1.0
in the world,8,1.0
i do not,8,1.0
i am a,8,7.0
i m glad,8,1.0
i could have,8,1.0
will be a,8,1.0
nt know how,8,54.0
and i are,8,1.0
hanging out with,8,3.0
the only thing,8,1.0
too bad i,8,1.0
happy mother s,8,2.0
just got my,8,1.0
how to use,8,1.0
to do the,8,1.0
that it s,8,1.0
would have been,8,7.0
re gon na,8,80.0
i was gon,8,2.0
thanks for the,8,1.0
the fact that,8,1.0
for a new,8,1.0
know what you,8,1.0
a bit of,8,1.0
i ll keep,8,1.0
waiting for the,8,1.0
nt wait for,8,1.0
for the last,8,2.0
wake up early,8,1.0
out how to,8,1.0
nt get to,8,1.0
but i dont,8,1.0
you can get,8,3.0
middle of the,8,1.0
in the sun,8,1.0
to all the,8,1.0
nt get it,8,1.0
does nt work,8,1.0
they do nt,8,1.0
to get the,8,1.0
a few days,8,1.0
the jonas brothers,7,2.0
hope it s,7,1.0
there was a,7,2.0
i was just,7,1.0
me so i,7,2.0
going back to,7,1.0
at the end,7,2.0
it is nt,7,1.0
i was a,7,2.0
when i get,7,13.0
star wars day,7,1.0
home from the,7,1.0
in front of,7,1.0
up on my,7,1.0
s time to,7,1.0
there s no,7,1.0
to see my,7,1.0
i m stuck,7,2.0
nt wan na,7,1.0
all over the,7,3.0
wan na be,7,1.0
going to miss,7,7.0
will be in,7,1.0
nt find my,7,1.0
m off to,7,1.0
it i ll,7,1.0
time to get,7,1.0
low low low,7,1.0
i dont want,7,1.0
but now it,7,1.0
you going to,7,1.0
with the family,7,1.0
i think the,7,1.0
no it s,7,1.0
why do i,7,1.0
i was so,7,1.0
and it is,7,1.0
the last time,7,1.0
lol i m,7,1.0
cup of coffee,7,1.0
woke up to,7,1.0
of my life,7,1.0
work work work,7,1.0
woke up at,7,1.0
na go to,7,1.0
right now i,7,1.0
to make a,7,1.0
for a little,7,1.0
to the airport,7,1.0
in a while,7,3.0
i could go,7,2.0
ll be back,7,2.0
m in the,7,1.0
at least it,7,1.0
i could get,7,1.0
it s like,7,5.0
it would be,7,12.0
a few more,7,1.0
it s still,7,1.0
in a few,7,1.0
if you want,7,1.0
she does nt,7,9.0
what kind of,7,12.0
for mothers day,7,1.0
m not going,7,1.0
i would like,7,1.0
think i have,7,1.0
have to do,7,2.0
nt get a,7,1.0
hope you re,7,1.0
on my phone,7,1.0
to bed now,7,1.0
to be doing,7,1.0
a day off,7,1.0
do nt do,7,1.0
i would nt,7,1.0
its gon na,7,1.0
listening to the,7,46.0
you so much,7,1.0
did nt see,7,2.0
going to work,7,1.0
i can only,7,1.0
a good day,7,1.0
that would be,7,17.0
to get ready,7,1.0
nt think i,7,1.0
do nt remember,7,2.0
a few hours,7,1.0
s time for,7,1.0
yeah i m,7,1.0
the same thing,7,1.0
m pretty sure,7,5.0
just ca nt,7,1.0
to the movies,7,4.0
to get some,7,1.0
i m pretty,7,17.0
for a run,7,1.0
to get up,6,1.0
m trying to,6,2.0
in my head,6,5.0
do nt really,6,1.0
is there a,6,1.0
to get on,6,1.0
i d like,6,1.0
thought it was,6,1.0
i was at,6,5.0
i think my,6,1.0
i m here,6,4.0
there is no,6,2.0
i need my,6,1.0
last night in,6,1.0
here i come,6,1.0
well it s,6,4.0
need to find,6,1.0
but i still,6,1.0
to watch the,6,1.0
who are you,6,1.0
i m up,6,1.0
just going to,6,1.0
a long day,6,1.0
that was a,6,1.0
me i m,6,4.0
when you re,6,18.0
ca nt make,6,1.0
to do with,6,12.0
it s in,6,1.0
so i guess,6,1.0
i can see,6,1.0
m so sorry,6,1.0
do nt need,6,2.0
i get to,6,1.0
it ll be,6,1.0
for mother s,6,1.0
i think we,6,2.0
that is the,6,1.0
to catch up,6,1.0
rest of my,6,1.0
do nt even,6,1.0
a long time,6,1.0
feel like a,6,1.0
to look at,6,1.0
need a new,6,1.0
you know you,6,1.0
i m home,6,2.0
the same time,6,1.0
get out of,6,5.0
like i m,6,29.0
a bank holiday,6,1.0
just got a,6,1.0
a pic of,6,1.0
i m trying,6,1.0
waiting for my,6,1.0
get to go,6,1.0
that i have,6,1.0
it was on,6,1.0
did nt work,6,1.0
could nt find,6,1.0
have a good,6,5.0
has to be,6,1.0
to follow me,6,1.0
it s going,6,1.0
i ll make,6,1.0
you know it,6,1.0
that s my,6,1.0
and now it,6,1.0
follow me please,6,1.0
it in the,6,1.0
to be done,6,1.0
in my life,6,1.0
is in the,6,1.0
seem to be,6,1.0
off to see,6,1.0
s got a,6,1.0
to get it,6,1.0
then off to,6,3.0
watch star trek,6,1.0
i m back,6,3.0
look like a,6,1.0
ca nt do,6,1.0
but i did,6,1.0
i can be,6,1.0
a great time,6,1.0
my way home,6,1.0
on our way,6,1.0
think it is,6,2.0
i m out,6,12.0
what do you,6,4.0
this is a,6,1.0
time for a,6,1.0
just want to,6,1.0
but i know,6,1.0
a little while,6,1.0
really do nt,6,1.0
couple of days,6,1.0
have a lot,6,2.0
over the weekend,6,1.0
i ve had,6,1.0
if you can,6,1.0
if i get,6,1.0
really need to,6,1.0
wo nt get,6,1.0
it s all,6,11.0
i m sad,6,1.0
but at least,6,1.0
this is my,6,1.0
dont know what,6,1.0
i go to,6,8.0
i am in,6,8.0
i think you,6,1.0
i love that,6,1.0
need to be,6,1.0
how do you,6,1.0
yes i do,6,1.0
be back in,6,5.0
it was the,6,1.0
goin to bed,6,1.0
back in the,6,1.0
used to be,6,8.0
i really do,6,1.0
think it was,6,1.0
rest of the,6,1.0
would love to,6,1.0
do nt you,6,30.0
wait to see,6,1.0
i look like,6,1.0
but i think,6,1.0
i like the,6,1.0
and now i,6,1.0
not looking forward,6,1.0
coming to the,6,5.0
i dont think,6,1.0
go to my,6,1.0
it s so,6,1.0
do nt feel,6,3.0
and i know,6,23.0
i love my,6,1.0
amp i m,6,4.0
i think its,6,2.0
but i love,6,3.0
would like to,6,4.0
got a new,6,1.0
working on the,6,80.0
got ta be,6,1.0
to be back,6,1.0
hope you feel,6,7.0
i hope she,6,5.0
ll be in,6,1.0
be the same,6,2.0
i wont be,6,1.0
thought i was,6,1.0
to do a,6,1.0
is off to,6,1.0
back to my,6,1.0
i get a,5,2.0
in the office,5,1.0
if you have,5,1.0
on the list,5,1.0
need to see,5,1.0
you follow me,5,1.0
if u want,5,1.0
i will have,5,1.0
off to do,5,1.0
what i was,5,1.0
i m staying,5,1.0
my car is,5,1.0
now i know,5,1.0
is what i,5,4.0
he did nt,5,1.0
to be at,5,1.0
it on the,5,1.0
now i need,5,1.0
to but i,5,1.0
but i just,5,2.0
but i got,5,1.0
i see you,5,1.0
i never get,5,5.0
that s a,5,1.0
in my room,5,1.0
have you been,5,1.0
i kno i,5,1.0
i can sleep,5,1.0
working all weekend,5,1.0
going to sleep,5,1.0
hope you have,5,1.0
hard to get,5,1.0
it in a,5,9.0
s day to,5,1.0
no one to,5,1.0
no one is,5,1.0
found out that,5,1.0
and i think,5,1.0
time for bed,5,1.0
and then i,5,1.0
it s almost,5,1.0
it s about,5,1.0
i got it,5,2.0
do you think,5,12.0
you should come,5,3.0
you are not,5,1.0
to find a,5,11.0
i just watched,5,1.0
is having a,5,1.0
make up for,5,1.0
really wan na,5,2.0
next time i,5,11.0
do nt worry,5,1.0
i d have,5,1.0
seems to be,5,1.0
got ta work,5,1.0
and i ll,5,1.0
a new job,5,1.0
way to see,5,1.0
nt let me,5,1.0
video is private,5,1.0
were gon na,5,1.0
a lot more,5,1.0
hope you get,5,1.0
there was no,5,1.0
quite a few,5,1.0
feel a bit,5,1.0
ca nt i,5,1.0
now but i,5,1.0
i ve seen,5,23.0
wait for the,5,2.0
but now i,5,1.0
because i have,5,2.0
what you think,5,1.0
too bad it,5,1.0
do nt make,5,1.0
i just found,5,1.0
looks like i,5,1.0
had a great,5,1.0
i m new,5,1.0
i am not,5,2.0
it it s,5,1.0
since i was,5,1.0
i saw a,5,5.0
i said i,5,1.0
no need to,5,1.0
but i guess,5,1.0
you had fun,5,1.0
have a nice,5,1.0
and you re,5,1.0
i found out,5,1.0
what did you,5,1.0
is gon na,5,1.0
it was so,5,9.0
get some sleep,5,1.0
last night i,5,2.0
have nt seen,5,54.0
i sent you,5,1.0
you but it,5,1.0
i want more,5,2.0
stuck in the,5,1.0
what s wrong,5,1.0
it s only,5,1.0
i missed the,5,1.0
was a bit,5,2.0
in the uk,5,1.0
haha it s,5,1.0
hang out with,5,1.0
not sure if,5,8.0
to watch star,5,13.0
it might be,5,1.0
in the next,5,3.0
i ll let,5,1.0
i can find,5,1.0
you ve got,5,1.0
quot it s,5,3.0
see you there,5,1.0
got ta find,5,9.0
i just saw,5,2.0
i missed it,5,4.0
out with my,5,1.0
can i have,5,1.0
think i am,5,1.0
listen to some,5,1.0
i know what,5,1.0
ve got to,5,2.0
yeah i guess,5,1.0
i m really,5,5.0
it s official,5,181.0
you wan na,5,1.0
to get to,5,1.0
so it s,5,1.0
a year old,5,2.0
but i live,5,1.0
have to take,5,1.0
u did nt,5,1.0
was supposed to,5,1.0
get back to,5,1.0
going to do,5,2.0
are having a,5,1.0
by the time,5,1.0
few days ago,5,1.0
you get to,5,2.0
me but i,5,1.0
did you do,5,1.0
for the first,5,2.0
i m hungry,5,1.0
you re still,5,1.0
things to do,5,1.0
oh well i,5,1.0
do nt be,5,1.0
part of my,5,1.0
listening to some,5,1.0
when you get,5,1.0
say hi to,5,1.0
wish i can,5,2.0
as much as,5,1.0
good luck with,5,5.0
m in a,5,1.0
was a good,5,1.0
if i were,5,1.0
i know how,5,1.0
to do some,5,1.0
still on the,5,1.0
wo nt let,5,1.0
and did nt,5,2.0
going to a,5,1.0
working on a,5,1.0
s a bit,5,1.0
because i m,5,1.0
that s not,5,1.0
i m with,5,1.0
do nt wan,5,1.0
dont want to,5,1.0
no idea how,5,1.0
what you mean,5,1.0
by the way,5,1.0
i m probably,5,4.0
know i m,5,1.0
was in the,5,1.0
so i ca,5,1.0
so we can,5,1.0
to be there,5,1.0
up with the,5,1.0
so now i,5,3.0
today and i,5,1.0
i just wanted,5,1.0
meant to be,5,1.0
a lot to,5,1.0
today going to,5,1.0
why do nt,5,2.0
does nt have,5,1.0
have anything to,5,1.0
is trying to,5,1.0
to listen to,5,1.0
i m watching,5,1.0
why is it,5,1.0
me to hell,5,1.0
you but i,5,27.0
there will be,5,1.0
take a nap,5,4.0
nt be in,5,1.0
wanted to go,5,1.0
i thought you,5,1.0
really want to,5,3.0
a great day,5,1.0
to hear that,5,1.0
now going to,5,1.0
the movies with,5,19.0
see you in,5,1.0
nt dm you,5,1.0
should be in,5,1.0
yeah it s,5,1.0
not following me,5,1.0
a week i,5,2.0
gon na do,5,1.0
it was just,5,1.0
why are you,5,1.0
to do today,5,1.0
you re in,5,13.0
will be back,5,1.0
ran out of,5,1.0
i m working,5,1.0
gon na happen,5,1.0
for the past,5,1.0
that s how,5,1.0
work to do,5,1.0
to be the,5,2.0
to one of,5,1.0
to do tonight,5,1.0
but it is,5,1.0
i ve heard,5,1.0
you know what,5,1.0
day at work,5,1.0
i had one,5,1.0
out in the,5,1.0
i love the,5,1.0
is going on,5,1.0
ca nt dm,5,1.0
have to keep,5,9.0
wan na watch,5,1.0
forward to the,5,1.0
that would have,5,1.0
i think that,5,1.0
yes i am,5,1.0
to me i,5,1.0
ve got a,5,1.0
i tried to,5,1.0
where s the,5,1.0
no time to,5,1.0
to go for,5,1.0
ready for the,5,1.0
and i just,5,1.0
up with my,5,1.0
oh and i,5,1.0
mothers day to,5,2.0
did nt even,5,19.0
and the other,5,1.0
i can get,5,3.0
where is the,5,1.0
of the day,5,1.0
and go to,5,1.0
i m goin,5,1.0
it s ok,5,1.0
to the beach,5,1.0
i guess that,5,1.0
right about now,5,1.0
but i was,5,1.0
in the shower,5,10.0
to give me,5,1.0
so i thought,5,1.0
i just want,5,1.0
drag me to,5,1.0
have a cold,5,1.0
time to go,5,1.0
be in a,4,1.0
a way to,4,1.0
yes i know,4,1.0
where s my,4,1.0
to go and,4,2.0
nt have time,4,1.0
what time is,4,1.0
just when i,4,1.0
i m bored,4,1.0
i m all,4,1.0
i m done,4,8.0
end of the,4,2.0
then going to,4,1.0
im at work,4,1.0
couple of hours,4,1.0
i m such,4,1.0
a chance to,4,3.0
it is a,4,1.0
wish we could,4,1.0
are you in,4,181.0
one of these,4,1.0
going to school,4,1.0
i ll just,4,1.0
the best of,4,2.0
be back later,4,1.0
the time i,4,1.0
the next few,4,8.0
that i do,4,7.0
i will take,4,1.0
i would be,4,1.0
i guess you,4,3.0
on my new,4,1.0
check out my,4,1.0
is it a,4,1.0
on my iphone,4,5.0
a friday night,4,1.0
glad to hear,4,1.0
now i ve,4,1.0
but i want,4,4.0
should i say,4,1.0
for the time,4,1.0
but i can,4,1.0
it is it,4,1.0
m at work,4,1.0
i am at,4,1.0
you ll be,4,1.0
it s hot,4,1.0
i hope it,4,1.0
maybe i ll,4,1.0
the sun and,4,1.0
i told you,4,2.0
oh wait i,4,1.0
guess i have,4,1.0
there goes my,4,4.0
so glad it,4,1.0
to get back,4,1.0
just trying to,4,1.0
s in the,4,1.0
you re welcome,4,1.0
a new phone,4,1.0
he does nt,4,4.0
if i do,4,1.0
i will not,4,1.0
it to be,4,1.0
know i have,4,1.0
what i said,4,1.0
a good thing,4,1.0
never be the,4,1.0
are the only,4,1.0
nt do anything,4,1.0
nt wait till,4,1.0
went to a,4,1.0
since i ve,4,1.0
to hear you,4,1.0
to you too,4,2.0
s last day,4,1.0
the day off,4,1.0
that s it,4,1.0
you were right,4,1.0
to work now,4,1.0
still at work,4,1.0
well i ll,4,1.0
last night so,4,1.0
on the plane,4,1.0
give me a,4,1.0
i was hoping,4,1.0
but they were,4,1.0
to go with,4,1.0
to work on,4,3.0
think i ve,4,1.0
sitting in the,4,1.0
and i dont,4,1.0
think i should,4,1.0
angels and demons,4,1.0
to bed soon,4,1.0
but no one,4,1.0
nt even know,4,2.0
you know if,4,1.0
all that i,4,1.0
it is so,4,1.0
today is my,4,1.0
to use this,4,1.0
with my friends,4,3.0
i m sitting,4,9.0
feel sorry for,4,2.0
thought you were,4,1.0
want to change,4,1.0
talking to me,4,1.0
that you were,4,1.0
where you are,4,13.0
not so much,4,1.0
nt be here,4,2.0
my room and,4,3.0
get it to,4,1.0
i should go,4,1.0
went to bed,4,1.0
or should i,4,1.0
we ll see,4,1.0
bad it s,4,1.0
much to do,4,1.0
i want you,4,1.0
was just a,4,5.0
did you have,4,4.0
does nt need,4,1.0
then you can,4,1.0
miss you so,4,5.0
at the gym,4,1.0
i am here,4,1.0
wait for my,4,1.0
give it a,4,1.0
s why i,4,1.0
sleep i have,4,59.0
there are only,4,2.0
think we re,4,1.0
then back to,4,1.0
i do have,4,1.0
my ipod touch,4,1.0
back to school,4,1.0
i didnt have,4,1.0
had to leave,4,2.0
we re gon,4,1.0
is getting ready,4,1.0
you are nt,4,1.0
sure if i,4,1.0
what i am,4,1.0
ace of cakes,4,1.0
dont have the,4,1.0
love me some,4,1.0
just wanted to,4,1.0
for my birthday,4,1.0
the sound of,4,1.0
on the beach,4,1.0
but i had,4,1.0
just my luck,4,1.0
told me to,4,1.0
nt think it,4,1.0
how long it,4,1.0
catching up with,4,1.0
last night but,4,1.0
can go see,4,1.0
make me feel,4,1.0
calling my name,4,1.0
could go to,4,3.0
to buy me,4,1.0
ready for a,4,1.0
fact that i,4,1.0
would nt be,4,1.0
mtv movie awards,4,1.0
s been a,4,1.0
i feel so,4,2.0
we ll be,4,1.0
here i am,4,2.0
what r u,4,1.0
s supposed to,4,1.0
but it does,4,1.0
be going to,4,1.0
na go back,4,1.0
my last day,4,1.0
waiting on the,4,2.0
a day of,4,22.0
get me a,4,3.0
m still waiting,4,1.0
did nt want,4,1.0
a little more,4,1.0
there but i,4,1.0
trying to save,4,1.0
why i m,4,1.0
i am now,4,2.0
but i need,4,1.0
on a sunday,4,1.0
did nt go,4,1.0
home from work,4,2.0
go to school,4,7.0
at least you,4,1.0
see if i,4,1.0
in the same,4,3.0
then i ll,4,1.0
so i could,4,1.0
to bed i,4,1.0
check out the,4,1.0
saturday night live,4,5.0
wishing i could,4,2.0
to sleep but,4,7.0
is at the,4,26.0
i m supposed,4,1.0
me it s,4,1.0
and now its,4,1.0
to go get,4,1.0
it s called,4,1.0
long as you,4,1.0
nt believe i,4,1.0
i ll call,4,1.0
lol it s,4,1.0
do the same,4,1.0
because it s,4,1.0
for a week,4,3.0
to be to,4,1.0
ll let you,4,1.0
i think they,4,1.0
only have one,4,1.0
to go in,4,1.0
why ca nt,4,15.0
d like to,4,1.0
are you still,4,1.0
sorry i hope,4,1.0
i wish it,4,1.0
for the follow,4,1.0
if it is,4,1.0
just realized that,4,1.0
it s under,4,1.0
get better soon,4,1.0
it s his,4,1.0
i ll probably,4,1.0
didnt get to,4,1.0
be on the,4,1.0
with all the,4,1.0
home from school,4,1.0
but im not,4,1.0
able to get,4,1.0
feel better soon,4,1.0
how can i,4,1.0
i miss my,4,3.0
i really have,4,1.0
i do it,4,1.0
and yes i,4,1.0
i m doing,4,1.0
yeah i know,4,1.0
this time of,4,1.0
i want it,4,1.0
i thought it,4,3.0
was on the,4,1.0
my hair cut,4,3.0
is nt that,4,3.0
to get me,4,1.0
is one of,4,1.0
a bit to,4,1.0
to work i,4,1.0
but we have,4,1.0
does that mean,4,14.0
to say hi,4,1.0
wonder if i,4,12.0
ll call you,4,1.0
up in the,4,2.0
i should have,4,1.0
off for a,4,1.0
we ca nt,4,1.0
be at work,4,1.0
in the last,4,1.0
what is this,4,7.0
i could see,4,1.0
to bed with,4,1.0
i cant believe,4,1.0
know you re,4,2.0
that made me,4,1.0
pick up my,4,1.0
least it s,4,5.0
if you are,4,1.0
looks like the,4,32.0
yes i did,4,1.0
with my best,4,1.0
i had my,4,3.0
day of the,4,13.0
guess i m,4,1.0
as soon as,4,1.0
the swine flu,4,1.0
wait to get,4,1.0
ca nt help,4,1.0
still have a,4,1.0
to do that,4,1.0
reminds me of,4,1.0
is the last,4,1.0
at the airport,4,1.0
if there s,4,2.0
watch a movie,4,2.0
wish me luck,4,1.0
i m having,4,1.0
see it again,4,1.0
it s pretty,4,1.0
for most of,4,1.0
it to the,4,1.0
plans for the,4,1.0
and i ca,4,1.0
will be home,4,1.0
talking to you,4,1.0
im trying to,4,1.0
i feel sorry,4,3.0
i could do,4,1.0
so sad i,4,1.0
to come to,4,1.0
when it s,4,1.0
about an hour,4,1.0
not yet i,4,1.0
first time in,4,1.0
see you on,4,1.0
will not be,4,1.0
hope i get,4,1.0
have a job,4,1.0
one more day,4,1.0
to work today,4,1.0
to come over,4,6.0
have to come,4,1.0
the tonight show,4,1.0
some of my,4,12.0
up to the,4,1.0
me i have,4,2.0
nt feel like,4,1.0
i know its,4,1.0
i might just,4,25.0
m not a,4,1.0
a shout out,4,1.0
and then it,4,1.0
and ready to,4,5.0
in a row,4,1.0
have time to,4,1.0
did nt notice,4,2.0
i wonder if,4,1.0
what s the,4,1.0
i get the,4,2.0
for a few,4,1.0
of it is,4,1.0
oh i see,4,1.0
to bed night,4,1.0
britains got talent,4,1.0
good thing i,4,1.0
our way to,4,1.0
i just realized,4,5.0
me up and,4,35.0
in the us,4,1.0
off to school,4,2.0
wish i were,4,1.0
m supposed to,4,1.0
i know that,4,1.0
soon as i,4,1.0
i ll take,4,13.0
i really wan,4,30.0
to be able,4,1.0
wont let me,4,1.0
and then going,4,1.0
oh i m,4,1.0
m sorry i,4,1.0
was hoping to,4,1.0
i might have,4,1.0
i need some,4,1.0
could nt get,4,1.0
think i can,4,1.0
a bit more,4,3.0
so i ll,4,1.0
no one else,4,1.0
she did nt,4,1.0
m such a,4,6.0
i miss the,4,2.0
not the same,4,12.0
probably going to,4,1.0
less than hours,4,1.0
even though i,4,1.0
want her to,4,1.0
so much to,4,2.0
i fell asleep,4,1.0
