,textID,text,selected_text,sentiment
137,21560548c9, Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,neutral
138,4f5f302b6d,": Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol","Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol",neutral
139,f5ab6158d8, nvm i just got ur message that ur sick,nvm i just got ur message that ur sick,neutral
140,0959262dda, It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,neutral
144,79a63fea5e,Happy Grey's day everyone! Oh I miss Grey's!!,Happy Grey's day everyone! Oh I miss Grey's!!,neutral
151,354a5dd44d,http://snipurl.com/hbp3g  Canalway Cavalcade over in 'little venice' near Warwick Avenue - on today too,http://snipurl.com/hbp3g  Canalway Cavalcade over in 'little venice' near Warwick Avenue - on today too,neutral
152,ee60f31d77, /drool. I still need to 100% the first one,/drool. I still need to 100% the first one,neutral
155,05e15c27ed,is not sleeping because he has paperwork to do.,is not sleeping because he has paperwork to do.,neutral
159,514f235153, We don't have either of those here.,We don't have either of those here.,neutral
161,c9359dece4, Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,neutral
165,cc5639a1aa,wishes  would admit she has a new lovah,wishes  would admit she has a new lovah,neutral
166,d62b284da0, home now and added a few more Grice's to my list,home now and added a few more Grice's to my list,neutral
168,51965dd632,is watching wolverine at last.,is watching wolverine at last.,neutral
170,c3a417a9c8," It's good they're realistic, but I still don't like thinking about it!!!","It's good they're realistic, but I still don't like thinking about it!!!",neutral
172,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
173,1f03b34f07,Come See Me Live On Stickam  http://www.stickam.com/valentine_rock,Come See Me Live On Stickam,neutral
174,9d4b1e13a3,_Jen LOL - I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,neutral
175,5296a3c4b9,"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)","uploading photos.   (on: Facebook, &amp; Friendster... Myspace lat",neutral
177,5733c8453b,"Sasha's helped too, of course","Sasha's helped too, of course",neutral
178,ef2ab041f3,  Is there going to be any more TAI TV? Ah I hope so,Is there going to be any more TAI TV? Ah I hope so,neutral
180,153ca0e3c3,"Thinking about Con Law, fighting a headache, &amp; Paying bills...","Thinking about Con Law, fighting a headache, &amp; Paying bills..",neutral
181,74be5dc362,So slpy 2day  zzzz,So slpy 2day  zzzz,neutral
185,d49d68f107, Indeed I did get your song however am unable to listen.,Indeed I did get your song however am unable to listen.,neutral
186,88bc831803," O: aw, frank  i like that movie, it's cool. i don't fully understand, but i think that's cool (:","O: aw, frank  i like that movie, it's cool. i don't fully understand, but i think that's cool (:",neutral
187,cadd44e0ed,"Ok, sending me messages asking to set my blog live won't work (linked to my developing website)! Take a tip from  and be patient!","Ok, sending me messages asking to set my blog live won't work (linked to my developing website)! Take a tip from  and be patient!",neutral
190,195157e55e,is needing to make a new video,is needing to make a new video,neutral
191,9ebf0fdde7, how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it,how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it,neutral
201,6b3c07bec3,is back from a weekend get away,is back from a weekend get away,neutral
204,7fda0ae9c3,should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis...,should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis...,neutral
205,a452d71fc8, nope,nope,neutral
206,b5a8bbb329, It's because we're right,It's because we're right,neutral
208,1a969de34e,":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",neutral
209,0068b3323c,_lavish i told diamond to follow you. and why u aitn share the starburst,i told diamond to follow you. and why u aitn share the starburst,neutral
210,022ea32026,well - that blows.  Sorry to cut it short. It wont work for me. I didnt get to say bye..so goodnight guys - thx for watching!  Love u guys,well - that blows.  Sorry to cut it short. It wont work for me. I didnt get to say bye..so goodnight guys - thx for watching!  Love u guys,neutral
213,853357e610," Pigs catching Swine Flu and Avian Flu, risking the development of Flying Pig Flu? Awesomely funny","Pigs catching Swine Flu and Avian Flu, risking the development of Flying Pig Flu? Awesomely funny",neutral
214,1a43a95aae, The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68,The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web.,neutral
215,7be41c3b89,_0robertpatt Why do they do that?!,_0robertpatt Why do they do that?!,neutral
216,96c5b4862c,listening to a new Stolen Sheep record,listening to a new Stolen Sheep record,neutral
219,d4ff0ef413,Off to church now...,Off to church now...,neutral
220,9733f971b5, May the fourth be with you,May the fourth be with you,neutral
224,4d8925a0a9,": Geez, a cool man like him be the villains. Too bad",": Geez, a cool man like him be the villains. Too bad",neutral
226,4d5ae57550, You can find more info on getonu2.com We hope to launch the project this week. Then we'll really need some help to release it!,You can find more info on getonu2.com We hope to launch the project this week. Then we'll really need some help to release it!,neutral
237,92a6b5016a,food...food...FOOD!,food...food...FOOD!,neutral
240,503063f77e,Can not afford the DR this year. I just can't pull it off this time.,Can not afford the DR this year. I just can't pull it off this time.,neutral
241,a3f0f1bd6f," I'm having elevated error rates... StreamKeys not found, and then connection problems. Server migration isn't easy, huh  ?","I'm having elevated error rates... StreamKeys not found, and then connection problems. Server migration isn't easy, huh  ?",neutral
244,85a656ef9f,will be doing all the chores just for her mama,will be doing all the chores just for her mama,neutral
245,43e658a79f," well, the requirements are quite high as well","well, the requirements are quite high as well",neutral
247,b2a8d75ab9,Awwwwwww holly,Awwwwwww holly,neutral
250,98bfec52ab," yay, you get to ride on the tow truck. How cool is that?","yay, you get to ride on the tow truck. How cool is that?",neutral
251,9abdd004ac, yeah i did  i remember it na....... i did watch it before ),yeah i did  i remember it na....... i did watch it before,neutral
253,9ae78ce646," ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a few!","ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a fe",neutral
258,fefc0ed9f0, wow.???? ??????,wow.,neutral
259,5e3438415f, I will try. But I don't care what my mum says,I will try. But I don't care what my mum says,neutral
261,58030178a2," she was wonderful, did not get to meet her though","she was wonderful, did not get to meet her though",neutral
263,0deb56c608, turn on your closed caption ... Then you can read and watch animal planet at the same tiime.,turn on your closed caption ... Then you can read and watch animal planet at the same tiime.,neutral
265,aadad95bae," You too, Rus!","You too, Rus!",neutral
267,93d4008ef1, testing.... Hey! I gotta add you as someone to follow,testing.... Hey! I gotta add you as someone to follow,neutral
268,3d5b85833e," I've lost count of the number I've rung today already    Were going to Wales, but I'm due in court on monday!","I've lost count of the number I've rung today already    Were going to Wales, but I'm due in court on monday",neutral
270,a490706bc1, For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,neutral
278,150073b9ca, Welcome back!,Welcome back!,neutral
280,d5b83f848c, of couuuurse fika  i'll pray thes best for you then.,of couuuurse fika  i'll pray thes best for you then.,neutral
284,e999df98cc, They should add Dunkin Donuts to their menu too.,They should add Dunkin Donuts to their menu too.,neutral
285,c24609183c,"Is up, coffee in hand with laminate floor to lay then Footy to watch and play, living the dream","Is up, coffee in hand with laminate floor to lay then Footy to watch and play, living the dream",neutral
286,6d924430ec,No 1 evr brngs me a starbux!   *~CoRiEoGrApHy~*,No 1 evr brngs me a starbux!,neutral
289,e578b04e2a,"i need to see ...now! someone buy me a plane ticket, please?","i need to see ...now! someone buy me a plane ticket, please?",neutral
290,2991e56ed4,@ ginniejean there's a lot of mojo all over the place...  yes.,@ ginniejean there's a lot of mojo all over the place...  yes.,neutral
292,d7fa220244,off to the family party,off to the family party,neutral
296,1fbc83a3c8, You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not,You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not,neutral
299,d81e3618bd, I know.     #hhrs,I know.     #h,neutral
300,22cb6d05cf,WOW Panic at the disco en Abbey Road,WOW Panic at the disco en Abbey Road,neutral
304,5b20ab3365,Making an iMovie of college,Making an iMovie of college,neutral
307,bfc6e40ae6,All the food in my house has sugar ants in it,All the food in my house has sugar ants in it,neutral
308,05629e13d6, love you loads hun ) hot weather gutted i aint with you now chillaxing  but we got tomoz  xxxx,hot weather gutted i aint with you now chillaxing  but we got tomoz,neutral
309,b192e1c733, awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe,awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe,neutral
314,5593a8341f,oh about you lol sorry my minds always on you,oh about you lol sorry my minds always on you,neutral
322,804482ed6a,"Can you dig it, sucka?  Booker T.  Former WWE Wrestler","Can you dig it, sucka?  Booker T.  Former WWE Wrestler",neutral
327,7cd45d9ece,MORNING EVERY1! Giveaway at http://tinyurl.com/dhc4hg  Mod Kid Emma pattern &amp;$25 GiftCert to HipFabric!! GO check it out,MORNING EVERY1! Giveaway at http://tinyurl.com/dhc4hg  Mod Kid Emma pattern &amp;$25 GiftCert to HipFabric!! GO check it,neutral
329,8d0fdbed6d,voyed on MTV Movie Awards  Mostly on TWILIGHT and SLUMDOG   http://is.gd/wBt6,voyed on MTV Movie Awards  Mostly on TWILIGHT and SLUMDOG   http://is.gd/wBt6,neutral
331,970ae7e78a,SB 239K.  Flop A Q 9.  4 players check. Turn 9. I check call 200 bet. River brick. I check call with trip 9's with K kick. He shows A9.,SB 239K.  Flop A Q 9.  4 players check. Turn 9. I check call 200 bet. River brick. I check call with trip 9's with K kick. He shows A9.,neutral
333,772121f139,It takes nearly 2 days to figure out what causes the mic problems at #euruko: Do not hold the mic at the bottom!,It takes nearly 2 days to figure out what causes the mic problems at #euruko: Do not hold the mic at the bottom!,neutral
334,45e9599ec1, haha i am aware of how one contracts a UTI.  and i have training for work at 8:45 tomorrow morning so i have to go to bed early,haha i am aware of how one contracts a UTI.  and i have training for work at 8:45 tomorrow morning so i have to go to bed early,neutral
336,23e1f7dca4,Is at a photoshoot.,Is at a photoshoot.,neutral
337,a8bf43dc82,I have to work tonight  But I get my paycheck!,I have to work tonight  But I get my paycheck!,neutral
338,8db4d80318, Jars was gonna be my answer,Jars was gonna be my answer,neutral
339,c47421facf,"rap battling at second sat, now at the moviesss  haha &quot;i swim in a lake of ****&quot;- Matthew M. ( Ghosts of Girlfriends Past)","rap battling at second sat, now at the moviesss  haha &quot;i swim in a lake of ****&quot;- Matthew M. ( Ghosts of Girlfrie",neutral
340,17a362db4b,i can't believe my little brother is married...,i can't believe my little brother is married...,neutral
341,cbe913571f,Time to wind down and relax a little.  I can only change the world a little through Twitter each evening.  The rest will be up to others.,Time to wind down and relax a little.  I can only change the world a little through Twitter each evening.  The rest will be up to others.,neutral
343,197edd16c0," no, sir, they did not! i was amazed when i woke up this morning.","no, sir, they did not! i was amazed when i woke up this morning.",neutral
344,c3bb37493e,"http://twitpic.com/4jerc view of Atlas Mountains, Morocco across the Straits of Gibraltar, I took the other day from Europa Point, Gib","http://twitpic.com/4jerc view of Atlas Mountains, Morocco across the Straits of Gibraltar, I took the other day from Europa Point, Gib",neutral
350,160945b393, awwww i cried...makes me cry  i love joey!,awwww i cried...makes me cry  i love joey!,neutral
355,506f3859f7,Just dropped my sistah off @ lax.    #fb,Just dropped my sistah off @ lax.    #fb,neutral
356,ebf0d1be0c,phone was acting crazy today so i missed all my tweeties' updates  but i fixed it,phone was acting crazy today so i missed all my tweeties' updates  but i fixed it,neutral
357,b91a241333,_double as if there are any other kind  http://myloc.me/Fkl,_double as if there are any other kind  http://myloc.me/Fkl,neutral
361,c4790ca0ae, lol I really wanna go there!! Imma check the vid out rite now,lol I really wanna go there!! Imma check the vid out rite now,neutral
362,dda9ee70ed, with 14mph winds!!,with 14mph winds!!,neutral
363,796e15046e, Wow- you are sharing some of my long list.,Wow- you are sharing some of my long list.,neutral
364,8ac1304215,maaaaan last night was a funny night! sad aswell tho,maaaaan last night was a funny night! sad aswell tho,neutral
367,df120c16ce, What are u going to do today my girl?,What are u going to do today my girl?,neutral
368,511d2b0355,I see ,I see,neutral
371,cfb49dff56, no i mean 2moz. I'm workin' 7-1 in a bakers then 6-4 later in a pub,no i mean 2moz. I'm workin' 7-1 in a bakers then 6-4 later in a pub,neutral
372,21fe7492e2,trying to get a sale in my job...,trying to get a sale in my job...,neutral
374,2f50cb1ab9, hey you!,hey you!,neutral
375,edffb44320,is TATTEDDDDD!!!!!!!!!!!!!,is TATTEDDDDD!!!!!!!!!!!!!,neutral
377,beb87222f9,"_Girl Girl, those are bangin' shoes!!!  Work it!","_Girl Girl, those are bangin' shoes!!!  Work it!",neutral
379,63c1de94bb,another week starts,another week starts,neutral
380,a386b7904a, soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page,soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page,neutral
384,f728c3d7c8, Don't know yet  Lemme know if you come up with something though.,Don't know yet  Lemme know if you come up with something though.,neutral
385,a445fe640d,First Day for research at Edmonton General,First Day for research at Edmonton General,neutral
386,49dc4d26d2," Yes, I'm originally from Argentina. And very 'mystic' about that  ...ï¿½ bientï¿½t de te lire Quincy!","Yes, I'm originally from Argentina. And very 'mystic' about that  ...ï¿½ bientï¿½t de te lire Quincy!",neutral
387,004820461a,Jacqueline Wilson day on CBBC,Jacqueline Wilson day on CBBC,neutral
389,71c989ed9d,workin.. still lol i wanted to go to the spring game,workin.. still lol i wanted to go to the spring game,neutral
391,a39a139223,just joined Twitter...     Hiya world!,just joined Twitter...     Hiya world,neutral
392,ca8386b30e, i love those boys. i missed the chat yesterday  it was the firts &amp; only one i'll miss though! &lt;333 Nick Jonas &lt;3333,i love those boys. i missed the chat yesterday  it was the firts &amp; only one i'll miss though! &lt;333 Nick Jonas,neutral
395,9a2742a83e,pretty bummed that it had to rain last nite! oh well  still had fun! Goldfish is highly overrated!,pretty bummed that it had to rain last nite! oh well  still had fun! Goldfish is highly overrated!,neutral
398,079e161937,"just installed Windows 7 RC, so far no mushroom cloud yet.","just installed Windows 7 RC, so far no mushroom cloud yet.",neutral
399,60297b1b97,mozert requiem tonight,mozert requiem tonight,neutral
400,e67d1e9731,"Downloading TF2, a mere 6.3G ... 3% nearly instantly now down to about 500KB","Downloading TF2, a mere 6.3G ... 3% nearly instantly now down to about 500KB",neutral
404,be89d69b8f,hubby is snoring!  but I still love him,hubby is snoring!  but I still love him,neutral
405,567b068131, that's such a long time from now,that's such a long time from now,neutral
406,7ef7bc5e68,Finally it's Friday! Things are going to be so different starting next week...my house will be empty!,Finally it's Friday! Things are going to be so different starting next week...my house will be empty!,neutral
407,94cd62f069, Have you been going to the Trop for the last 5 years?  No more games for you!,Have you been going to the Trop for the last 5 years?  No more games for you!,neutral
409,d539a1fb71,&quot;leave the pieces&quot; - the wreckers... hmm,&quot;leave the pieces&quot; - the wreckers,neutral
410,94b2a982ef, umm..nope not anymoree,umm..nope not anymoree,neutral
411,b67c6fe84c, Just got it a few hours ago! So not yet!,Just got it a few hours ago! So not yet!,neutral
412,cd66187d0a,Hate this song  ? http://blip.fm/~5jg6f,Hate this song  ? http://blip.fm/~5jg6f,neutral
413,4d94cf4328,Building Websites,Building Websites,neutral
415,47ec1b76b7,"  i'll visit ny 'til september, no diggnation for me","i'll visit ny 'til september, no diggnation for me",neutral
417,29a2921b23,hangover today,hangover today,neutral
418,14f9934b37,I am now Vice President of Social and Cultural Affairs at Southwestern College,I am now Vice President of Social and Cultural Affairs at Southwestern College,neutral
420,124e448e00,aaaaaw i want to live in the USA,aaaaaw i want to live in the USA,neutral
423,773c759b75, It's still up the duff boo,It's still up the duff boo,neutral
427,3205903aaa,TV time  see yall later! xoxo,TV time  see yall later! xoxo,neutral
428,7892df6e65, yupp t's better than people being rude to her  x,yupp t's better than people being rude to her,neutral
431,f8b6df5986,"just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!","just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!",neutral
434,c999c3d792,low low low low low low low low low.............................,low low low low low low low low low.............................,neutral
436,5d31f339a4,getting back from smackdown/ecw show,getting back from smackdown/ecw show,neutral
437,f6b46665e7," no not yet I ate a couple ;) I love Reeces but they are hard to get in NZ, I stock up bigtime in the States","no not yet I ate a couple ;) I love Reeces but they are hard to get in NZ, I stock up bigtime in the States",neutral
439,6052dbea51, love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong),love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong),neutral
442,10aad33680, You always catch me away from my computer.  ?,You always catch me away from my computer.  ?,neutral
443,715e36ee7a, How's the head this morning?,How's the head this morning?,neutral
446,c4aafdb23b," Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !","Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !",neutral
447,028450a3c6,"If you guys would be interested in watching me get tattooed tomorrow, let me know!","If you guys would be interested in watching me get tattooed tomorrow, let me know!",neutral
449,0ba5254ea9,New toys.,New toys.,neutral
450,caca25b354,Hydro drive abandoned after three miles,Hydro drive abandoned after three miles,neutral
454,645849b925,Just sittin here waitin for my coffee to be full grown on farm town before going to bed,Just sittin here waitin for my coffee to be full grown on farm town before going to bed,neutral
455,058d8281ef," The first thing she said means &quot;Your new album is really good&quot; and the second thing, &quot;Don't it's broken&quot;. I am Persian!","The first thing she said means &quot;Your new album is really good&quot; and the second thing, &quot;Don't it's broken&qu",neutral
458,47589bb377, here I am!,here I am!,neutral
461,ca1512100a,i hate my life big time its sooo poop gode i ould cry,i hate my life big time its sooo poop gode i ould cry,neutral
468,2bf08a606a,This is a joke surely? http://prune.it/WEAt,This is a joke surely?,neutral
469,99da599014,"recovering from a hard day of homeschooling my dd, chemistry did NOT go well...","recovering from a hard day of homeschooling my dd, chemistry did NOT go well...",neutral
470,dfbd510b11,: Where did you get a copy? I wanna watch that also.,Where did you get a copy? I wanna watch that also.,neutral
473,976eeaa10a,  tell me about it,tell me about it,neutral
475,d76ba31ee2, hmmm how bout my boi an me jammin sum john stephens for ya?,hmmm how bout my boi an me jammin sum john stephens for ya?,neutral
476,c6eea72783,Hey  Mia!! Go to bed!!    (deangeloredman live &gt; http://ustre.am/2NlC),Hey  Mia!! Go to bed!,neutral
477,3692246f06," here btw, this is not a bot","here btw, this is not a bot",neutral
478,d37296352b,had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.,had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.,neutral
479,54a0f09d92," Oh, I see what you mean. That is true if they are used improperly, which we know they are.","Oh, I see what you mean. That is true if they are used improperly, which we know they are.",neutral
484,764ca7a97b,June gloom seems to have arrived early,June gloom seems to have arrived early,neutral
485,84a051fc49,Be my Yoko Ono and follow me wherever I may go !,Be my Yoko Ono and follow me wherever I may go !,neutral
486,8d2b2b2a31, oh  il probs do wt i do every yaer watch the first one then watch the last couple of weeks lol,oh  il probs do wt i do every yaer watch the first one then watch the last couple of weeks lol,neutral
487,42c3e658a7,Working on our baseball fundraiser  Get 10% percent off Platium or Diamond wedding package if you let us know you saw us on Twitter!,Working on our baseball fundraiser  Get 10% percent off Platium or Diamond wedding package if you let us know you saw us on Twitter!,neutral
490,d685b8581a,shows how twitaddicted you can get,shows how twitaddicted you can get,neutral
491,10963273b9,Almost lost my phone.,Almost lost my phone.,neutral
493,876cd15514, Bryan hasn't replied about wingnuts,Bryan hasn't replied about wingnuts,neutral
496,3ec3a0b335, that'll do it too,that'll do it too,neutral
497,cbd651cec8,Happy its the weekend...LOVE has knocked me down ya'll!!!,Happy its the weekend...LOVE has knocked me down ya'll!!!,neutral
499,4cfb203834,just finished  Emergency - by Neil Strauss - another great read Neil - congrats   miss you by the way!,just finished  Emergency - by Neil Strauss - another great read Neil - congrats   miss you by the way,neutral
